Name;Taxonomy
Accession Delegation;19
ACP-EC Committee of Ambassadors;19
ACP-EC Council of Ministers;19
ACP-EEC Committee of Ambassadors;19
ACP-EEC Council of Ministers;19
ACP-EU Committee of Ambassadors;19
ACP-EU Council of Ministers;19
Ad Hoc Commission for the Revision of the CoR Rules of Procedure;19
Ad hoc commission on EU Budget;19
Administrative Commission for the Coordination of Social Security Systems;19
Administrative Commission on Social Security for Migrant Workers;19
Advisory Committee on Concentrations;19
Advisory Committee on Restrictive Practices and Dominant Positions;19
Advisory Committee on Safety and Health at Work (ACSH);19
Advisory Committee on Safety, Hygiene and Health Protection at Work (ACSHHPW);19
Agency for the Cooperation of Energy Regulators (ACER);19
Agriculture and Fisheries Council (AGRIFISH);19
Alliance of Liberals and Democrats for Europe (ALDE);19
Anti-Fraud Coordination;19
Artemis Joint Undertaking (ARTEMIS);19
Article 50 Task Force;19
Association Council;19
Audit Board of the European Communities;19
Authority for European political parties and European political foundations;19
Automated Central Documentation Service (SCAD);19
Benelux Economic Union (BEU);19
Benelux Union;19
BEREC Office;19
Bio-based Industries Joint Undertaking (BBI);19
Board of Governors of the European Investment Bank;19
Body of European Regulators for Electronic Communications (BEREC);19
Brussels Terminology Office;19
Budgetary Policy Committee;19
Bureau of European Policy Advisers (BEPA);19
Cabinets of Commissioners;19
CARIFORUM-EU Joint Council;19
CBRN Centres of Excellence (CBRN CoE);19
Cedefop (Cedefop);19
CENEL;19
Central Bureau for Nuclear Measurements;19
Central Documentation Service (SCAD);19
Christian-Democratic Group;19
Christian-Democratic Group (Group of the European People's Party);19
Civil Service Tribunal;19
Clean Sky 2 Joint Undertaking;19
Clean Sky Joint Undertaking;19
College of Commissioners;19
Commission;19
Commission 1 Regional Development, Economic Development, Local and Regional Finances (DEVELO);19
Commission 2 Agriculture, Rural Development and Fisheries (COM2);19
Commission 3 Trans-European Networks, Transport, Information Society (COM3);19
Commission 3 Transport and Communications Network (TRACOM);19
Commission 4 Spatial Planning, Urban Issues, Energy, Environment (COM4);19
Commission 4 Urban Policies (POLURB);19
Commission 5 Land-use Planning, Environment and Energy (AMETER);19
Commission 5 Social Policy, Public Health, Consumer Protection, Research and Tourism (COM5);19
Commission 6 Education, Training (EDUFOR);19
Commission 6 Employment, Economic Policy, Single Market, Industry, SMEs (COM6);19
Commission 7 Citizen's Europe, Research, Culture, Youth and Consumers (EURCIT);19
Commission 7 Education, Vocational Training, Culture, Youth, Sport and Citizens' Rights (COM7);19
Commission 8 Economic and Social Cohesion, Social Policy and Public Health (ECOSOC);19
Commission for Citizenship, Governance, Institutional and External Affairs (CIVEX-V);19
Commission for Citizenship, Governance, Institutional and External Affairs (CIVEX-VI);19
Commission for Constitutional Affairs and European Governance (CONST);19
Commission for Culture and Education (EDUC);19
Commission for Culture, Education and Research (EDUC-IV);19
Commission for Economic and Social Policy (ECOS);19
Commission for Economic and Social Policy (ECOS-IV);19
Commission for Economic and Social Policy (ECOS-V);19
Commission for Economic Policy (ECON-VI);19
Commission for Education, Youth, Culture and Research (EDUC-V);19
Commission for European Governance and the Area of Freedom, Security and Justice (CONST-IV);19
Commission for External Relations (RELEX);19
Commission for External Relations and Decentralised Cooperation (RELEX-IV);19
Commission for Natural Resources (NAT-V);19
Commission for Natural Resources (NAT-VI);19
Commission for Social Policy, Education, Employment, Research and Culture (SEDEC-VI);19
Commission for Subtainable Development (DEVE);19
Commission for Sustainable Development (DEVE-IV);19
Commission for Territorial Cohesion Policy (COTER);19
Commission for Territorial Cohesion Policy (COTER-IV);19
Commission for Territorial Cohesion Policy (COTER-V);19
Commission for Territorial Cohesion Policy and EU Budget (COTER-VI);19
Commission for The Environment, Climate Change and Energy (ENVE-V);19
Commission for the Environment, Climate Change and Energy (ENVE-VI);19
Commission Institutional Affairs (AFFINS);19
Commission Institutional Affairs (COM8);19
Commission's Central Library;19
Committee for Legal Affairs;19
Committee of Governors of the Central Banks of the Member States;19
Committee of Inquiry into Emission Measurements in the Automotive Sector;19
Committee of Inquiry into Money Laundering, Tax Avoidance and Tax Evasion;19
Committee of Inquiry into the crisis of the Equitable Life Assurance Society;19
Committee of inquiry into the situation of women in Europe;19
Committee of Permanent Representatives - Part I (Coreper I);19
Committee of Permanent Representatives - Part II (Coreper II);19
Committee of Permanent Representatives (Coreper);19
Committee of the Regions (CoR);19
Committee on Agriculture;19
Committee on Agriculture and Rural Development;19
Committee on Agriculture, Fisheries and Food;19
Committee on Agriculture, Fisheries and Rural Development;19
Committee on Associations;19
Committee on Budgetary Control;19
Committee on Budgets;19
Committee on Citizens' Freedoms and Rights, Justice and Home Affairs;19
Committee on Civil Liberties and Internal Affairs;19
Committee on Civil Liberties, Justice and Home Affairs;19
Committee on Constitutional Affairs;19
Committee on Culture and Education;19
Committee on Culture, Youth, Education and the Media;19
Committee on Culture, Youth, Education, the Media and Sport;19
Committee on Development;19
Committee on Development and Cooperation;19
Committee on Economic and Monetary Affairs;19
Committee on Economic and Monetary Affairs and Industrial Policy;19
Committee on Employment and Social Affairs;19
Committee on Energy and Research;19
Committee on Energy, Research and Technology;19
Committee on External Economic Relations;19
Committee on Fisheries;19
Committee on Foreign Affairs;19
Committee on Foreign Affairs and Security;19
Committee on Foreign Affairs, Human Rights, Common Security and Defence Policy;19
Committee on Foreign Affairs, Security and Defence Policy;19
Committee on Industry, External Trade, Research and Energy;19
Committee on Industry, Research and Energy;19
Committee on Institutional Affairs;19
Committee on International Trade;19
Committee on Legal Affairs;19
Committee on Legal Affairs and Citizens' Rights;19
Committee on Legal Affairs and the Internal Market;19
Committee on Petitions;19
Committee on Public Health and Environment;19
Committee on Regional Development;19
Committee on Regional Policy;19
Committee on Regional Policy and Regional Planning;19
